id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
3001,24.47592,Active,"Roxy Juniors Printed Poncho",Roxy,59.99,Women,908C9A564A86426585B29F5335B619BC,2
3002,11.10000,Active,"Danskin Women's Triathlon Print Tank",Danskin,25.00,Women,D806CA13CA3449AF72A1EA5AEDBED26A,2
3003,7.70000,Active,"Ladies Black Yoga Pants Blue Fold-over Waistband",FineBrandShop,17.50,Women,A4380923DD651C195B1631AF7C829187,7
3004,5.43750,Active,"PT903W Women's Cut Single Ply Light Weight Track Singlet-Control Unwanted Odors and Excess Moisture-Great for Competition Running or Marathons-Colors Include Black Green Navy Royal and Purple-Sizes SM-XXXL","Game Gear",12.50,Women,20479C788FB27378C2C99EADCF207E7F,1
3005,18.44600,Active,"Champion Women's Shape Too Bra",Champion,46.00,Women,3A61ED715EE66C48BACF237FA7BB5289,2
3006,19.74000,Active,"Champion Women's Shape Knee Tight",Champion,42.00,Women,5F268DFB0FBEF44DE0F668A022707B86,2
3007,31.36000,Active,"Mountain Hardwear Women's Butter Hooded Topper Pullover","Mountain Hardwear",70.00,Women,A724B9124ACC7B5058ED75A31A9C2919,7
3008,28.53500,Active,"Hot Chillys Women's Micro-Elite Chamois 8K Solid Zip-Tee","Hot Chillys",65.00,Women,C02F9DE3C2F3040751818AACC7F60B74,3
3009,25.94200,Active,"Hurley Juniors Getaway Pullover",Hurley,59.50,Women,EE16FA83C0F151EF85E617F5AA3867A6,1
3010,25.63600,Active,"SportHill Women's Voyage Pant",SportHill,68.00,Women,22722A343513ED45F14905EB07621686,7
3011,24.19200,Active,"Everyday Tights (Tall)","Fit Couture",56.00,Women,B1F62FA99DE9F27A048344D55C5EF7A6,1
3012,27.93000,Active,"Sporthill Womens Nomad II Pant",SportHill,70.00,Women,5A01F0597AC4BDF35C24846734EE9A76,7
3013,18.70050,Active,"adidas Women's Response Warm-Up Jacket",adidas,45.50,Women,4110A1994471C595F7583EF1B74BA4CB,4
3014,15.48000,Active,"Columbia Women's Brewha II Short",Columbia,40.00,Women,77EDBE5F897A5DBCDE49D31BEC1537B8,6
3015,25.07500,Active,"Straight Leg Yoga Pant","Fit Couture",59.00,Women,51BE2FED6C55F5AA0C16FF14C140B187,1
3016,13.02952,Active,"Champion Gotta Have Mesh Capri",Champion,35.12,Women,53A1320CB5D2F56130AD5222F93DA374,2
3017,11.60000,Active,"Jillian Michaels Collection by K-Swiss Women's Life Is Henley",K-Swiss,25.00,Women,248024541DBDA1D3FD75FE49D1A4DF4D,1
3018,21.50500,Active,"prAna Women's Amelia Top",prAna,55.00,Women,9A96A2C73C0D477FF2A6DA3BF538F4F4,7
3019,32.13000,Active,"Ibex Women's Woolies Crew Top",Ibex,85.00,Women,A74C3BAE3E13616104C1B25F9DA1F11F,8
3020,30.30000,Active,"Beyond Yoga Women's Low Rise Capri","Beyond Yoga",75.00,Women,E4A93F0332B2519177ED55741EA4E5E7,4
3021,17.30400,Active,"adidas Women's Response Ts Jacket",adidas,42.00,Women,9CB9ED4F35CF7C2F295CC2BC6F732A84,4
3022,3.59658,Active,"Danskin Women's Agility Skort",Danskin,9.54,Women,C8862FC1A32725712838863FB1A260B9,2
3023,37.73600,Active,"Bench Women's Slinker Fleece Hoodie",Bench,89.00,Women,09D37C08F7B129E96277388757530C72,7
3024,30.80000,Active,"ExOfficio Women's Chica Cool Hoody",ExOfficio,70.00,Women,E5522F7AC7CD76F19B396595C9C25B40,2
3025,10.64080,Active,"Capezio Women's Princess Camisole Leotard",Capezio,22.64,Women,2BD235C31C97855B7EF2DC8B414779AF,1
3026,32.32500,Active,"prAna Women's Essex Pant",prAna,75.00,Women,0CDF61037D7053CA59347AB230818335,7
3027,15.55200,Active,"Cuddl Duds Women's Long Sleeve V-Neck Flexifit Outerwear","Cuddl Duds",36.00,Women,B922EDE9C9EB9EABEC1C1FECBDECB45D,1
3028,11.57614,Active,"ASICS Women's Team Split Short",ASICS,29.99,Women,7EDFD52220E2032E7281061C82401195,1
3029,24.18000,Active,"Ibex Women's Balance Sport Sports Bra",Ibex,60.00,Women,A0BA2648ACD23DC7A5829968CE531A7D,8
3030,10.52500,Active,"ADIDAS ADI TREFOIL TEE MENS X41273",adidas,25.00,Women,2D95666E2649FCFC6E3AF75E09F5ADB9,4
3031,21.21600,Active,"Moving Comfort Women's Endurance Capri","Moving Comfort",52.00,Women,0CD60EFB5578CD967C3C23894F305800,3
